"Timestamp","Event","Content","Touchpoint","Location","PunctuationInSentece","NumberOfWords","NumberOfCharacters","SelectedButtonIndex","FullSentece","TimeSpan","IdentificationTags","LocationTags"
"2020/01/02 13:23:14.634","word-prediction[4]-updated","he","","520,410","","0","0","0","","","",""
"2020/01/02 13:23:16.577","sentence-added-to-database","or exactly what i have typed before","","","","0","0","0","","","","lcoation1, location5, location3, location2, location4, location6, lovation7, location8"
"2020/01/02 13:23:16.591","TTS-button-selected","or exactly what i have typed before ","1061.5,734","960,688","","0","0","0","","","",""
"2020/01/02 13:23:16.605","words-per-minute-value_word_count","19.14","","","","7","0","0","or exactly what i have typed before","0.36568","",""
"2020/01/02 13:23:16.619","words-per-minute-value_character_count","18.6","","","","0","35","0","or exactly what i have typed before","0.36568","",""
"2020/01/02 13:23:20.817","Clear-button-selected","Clear","999,534","960,475","","0","0","0","","","",""
"2020/01/02 13:23:20.832","words-per-minute-value_word_count","19.14","","","","7","0","0","or exactly what i have typed before","0.36568","",""
"2020/01/02 13:23:20.847","words-per-minute-value_character_count","18.6","","","","0","35","0","or exactly what i have typed before","0.36568","",""
"2020/01/02 13:23:20.861","output-updated","","","","","0","0","0","","","",""
"2020/01/02 13:23:20.927","tags-Updated","Current Location and Identification Tags Updated","","","","0","0","0","","","","lcoation1, location5, location3, location2, location4, location6, lovation7, location8"
"2020/01/02 13:23:20.950","sentence-prediction[1]-updated","hello alex","","520,410","N","2","0","0","hello alex","","","location3, location4, location5, location6, lovation7, location8, lcoation1, location2"
"2020/01/02 13:23:20.963","sentence-prediction[2]-updated","exactly","","200,195","N","1","0","0","exactly","","","location3, location4, location5, location6, lovation7, location8, lcoation1, location2"
"2020/01/02 13:23:20.980","sentence-prediction[3]-updated","hello everyone","","520,345","N","2","0","0","hello everyone","","","location3, location4, location5, location6, lovation7, location8, lcoation1, location2"
"2020/01/02 13:23:20.997","sentence-prediction[4]-updated","the voice","","380,195","N","2","0","0","the voice","","","location3, location4, location5, location6, lovation7, location8, lcoation1, location2"
"2020/01/02 13:23:21.010","sentence-prediction[5]-updated","normal please","","560,623","N","2","0","0","normal please","","","location3, location4, location5, location6, lovation7, location8, lcoation1, location2"
"2020/01/02 13:23:21.023","word-prediction[1]-updated","to","","380,130","","0","0","0","","","",""
"2020/01/02 13:23:21.023","word-prediction[2]-updated","and","","70,345","","0","0","0","","","",""
"2020/01/02 13:23:21.049","word-prediction[3]-updated","of","","740,130","","0","0","0","","","",""
"2020/01/02 13:23:21.063","word-prediction[4]-updated","in","","650,130","","0","0","0","","","",""
"2020/01/02 13:23:22.209","Letter-button-selected","d","281.5,499.5","250,475","","0","0","0","","","",""
"2020/01/02 13:23:22.223","output-updated","d","","","","0","0","0","","","",""
"2020/01/02 13:23:22.267","tags-Updated","Current Location and Identification Tags Updated","","","","0","0","0","","","","lcoation1, location5, location3, location2, location4, location6, lovation7, location8"
"2020/01/02 13:23:22.288","sentence-prediction[1]-updated","do we know what we want to do next.","","740,195","Y","9","0","0","so do we know what we want to do next.","","person1, person7, person3, person2, person4, person5, Unknown, person6, person8","location2, lovation7, lcoation1, location6, location8, location5, location3, location4"
"2020/01/02 13:23:22.288","word-prediction[1]-updated","day","","70,410","","0","0","0","","","",""
"2020/01/02 13:23:22.312","word-prediction[2]-updated","don't","","740,130","","0","0","0","","","",""
"2020/01/02 13:23:22.325","word-prediction[3]-updated","did","","650,195","","0","0","0","","","",""
"2020/01/02 13:23:22.337","word-prediction[4]-updated","days","","70,345","","0","0","0","","","",""
"2020/01/02 13:23:23.553","Sentence-prediction[1]-selected","do","774,226","","N","9","0","1","do we know what we want to do next.","","",""
