Timestamp,Event,Content,Touchpoint,Location,PunctuationInSentece,NumberOfWords,NumberOfCharacters,SelectedButtonIndex,FullSentece,TimeSpan,IdentificationTags,LocationTags
36:10.3,tags-Updated,Current Location and Identification Tags Updated,,,,0,0,0,,,,"location3, location5, location8, lcoation1, location2, location4, location6, lovation7"
36:10.3,sentence-prediction[1]-updated,in four unsuccessful proposals in the past year,,"560,623",N,8,0,0,i have put in four unsuccessful proposals in the past year,,"person7, person6, person2, Unknown, person1, person5, person4, person3, person8","lovation7, location8, location6, lcoation1, location3, location4, location2, location5"
36:10.3,sentence-prediction[2]-updated,in fact,,"560,558",N,2,0,0,amazing in fact,,"person7, person5, Unknown, person2, person3, person6, person1, person4, person8","location8, location2, lovation7, location5, location4, location3, lcoation1, location6"
36:10.4,word-prediction[1]-updated,i,,"650,195",,0,0,0,,,,
36:10.4,word-prediction[2]-updated,is,,"160,410",,0,0,0,,,,
36:10.4,word-prediction[3]-updated,it,,"380,195",,0,0,0,,,,
36:10.4,word-prediction[4]-updated,if,,"340,410",,0,0,0,,,,
36:13.4,word-prediction[1]-selected,i,"661.5,213","650,195",,0,0,0,,,,
36:13.4,output-updated,i ,,,,0,0,0,,,,
36:13.5,tags-Updated,Current Location and Identification Tags Updated,,,,0,0,0,,,,"location3, location5, location8, lcoation1, location2, location4, location6, lovation7"
36:13.5,sentence-prediction[1]-updated,can demonstrate how i can get either words or sentences that i have used before,,"290,623",N,15,0,0,but i can demonstrate how i can get either words or sentences that i have used before,,,"location3, location5, location8, lcoation1, location2, location4, location6, lovation7"
36:13.6,sentence-prediction[2]-updated,think i am typing at a faster rate than i usually do.,,"380,195",Y,12,0,0,i think i am typing at a faster rate than i usually do.,,"person1, person7, person3, person2, person4, person5, Unknown, person6, person8","location2, lovation7, lcoation1, location6, location8, location5, location3, location4"
36:13.6,sentence-prediction[3]-updated,am hoping that eventually i will find whole sentences to use as i speak,,"70,410",N,14,0,0,so i am hoping that eventually i will find whole sentences to use as i speak,,"person2, person1, person7, person4, person5, Unknown, person6, person3","location6, lovation7, location2, location4, location5, location8, lcoation1, location3"
36:13.6,sentence-prediction[4]-updated,wonder how much i will enjoy using this system,,"110,130",N,9,0,0,i wonder how much i will enjoy using this system,,"person2, person4, person1, person3, person5, person7, Unknown, person6, person8","lovation7, location2, location8, location5, lcoation1, location6, location4, location3"
36:13.6,sentence-prediction[5]-updated,need a button to say i have something to say.,,"560,558",Y,10,0,0,i need a button to say i have something to say.,,"person1, person7, person3, person2, person4, person5, Unknown, person6, person8","location2, lovation7, lcoation1, location6, location8, location5, location3, location4"
36:13.6,word-prediction[1]-updated,have,,"520,345",,0,0,0,,,,
36:13.6,word-prediction[2]-updated,was,,"110,195",,0,0,0,,,,
36:13.7,word-prediction[3]-updated,don't,,"250,345",,0,0,0,,,,
36:13.7,word-prediction[4]-updated,love,,"790,345",,0,0,0,,,,
36:15.3,Letter-button-selected,w,"171,309","110,260",,0,0,0,,,,
36:15.3,output-updated,i w,,,,0,0,0,,,,
36:15.4,tags-Updated,Current Location and Identification Tags Updated,,,,0,0,0,,,,"location3, location5, location8, lcoation1, location2, location4, location6, lovation7"
36:15.5,sentence-prediction[1]-updated,was the mechanic,,"70,410",N,3,0,0,i was the mechanic,,,"location4, location2, lcoation1, location3, location6, location8, location5, lovation7"
36:15.5,sentence-prediction[2]-updated,words or sentences that i have used before,,"740,195",N,8,0,0,but i can demonstrate how i can get either words or sentences that i have used before,,,"location3, location5, location8, lcoation1, location2, location4, location6, lovation7"
36:15.5,sentence-prediction[3]-updated,what i will type next,,"520,410",N,5,0,0,and i am not planning what i will type next,,"person4, person1, person6, person2, person5, Unknown, person3, person7, person8","location2, location5, location6, location4, lcoation1, location8, lovation7, location3"
36:15.5,word-prediction[1]-updated,would,,"740,130",,0,0,0,,,,
36:15.5,word-prediction[2]-updated,want,,"70,345",,0,0,0,,,,
36:15.5,word-prediction[3]-updated,wish,,"650,195",,0,0,0,,,,
36:15.5,word-prediction[4]-updated,went,,"200,195",,0,0,0,,,,
36:17.1,word-prediction[2]-selected,want,"105,386","70,345",,0,0,0,,,,
36:17.2,output-updated,i want ,,,,0,0,0,,,,
36:17.3,tags-Updated,Current Location and Identification Tags Updated,,,,0,0,0,,,,"location3, location5, location8, lcoation1, location2, location4, location6, lovation7"
36:17.3,sentence-prediction[1]-updated,to say and this system helps to speed up my typing,,"380,195",N,11,0,0,i know what i want to say and this system helps to speed up my typing,,,"location3, location4, location5, location6, lovation7, location8, lcoation1, location2"
36:17.3,sentence-prediction[2]-updated,a go?,,"70,410",Y,2,0,0,do you want a go?,,,"location3, location4, location5, location6, lovation7, location8, lcoation1, location2"
